Sat 60: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 145: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 61: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 146: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 147: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 148: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 274: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 149: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 275: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 62: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 63: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 64: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 276: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 277: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 278: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 279: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 280: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 65: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 66: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 281: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 282: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 283: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 67: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 68: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 69: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 284: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 285: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 70: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 71: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 72: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 286: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 287: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 288: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 289: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 290: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 291: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 292: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 73: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 74: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 293: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
